m#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
1,Friday Apr 2,boxscore,BOS,,BAL,L,0,3,,0-1,4,1.5,Means,Eovaldi,Valdez,3:10,D,4452,1.11,-,
2,Saturday Apr 3,boxscore,BOS,,BAL,L,2,4,,0-2,5,2.0,Plutko,Houck,Valdez,2:51,D,4571,.96,--,
3,Sunday Apr 4,boxscore,BOS,,BAL,L,3,11,,0-3,5,3.0,Zimmermann,Richards,,3:28,D,4458,.94,---,
4,Monday Apr 5,boxscore,BOS,,TBR,W,11,2,,1-3,5,2.0,Pivetta,Wacha,,3:26,N,4577,.85,+,
5,Tuesday Apr 6,boxscore,BOS,,TBR,W-wo,6,5,12,2-3,4,1.0,Valdez,Thompson,,4:25,N,4682,.92,++,
6,Wednesday Apr 7,boxscore,BOS,,TBR,W,9,2,,3-3,2,1.0,Eovaldi,Yarbrough,,2:51,D,4751,.94,+++,
7,Thursday Apr 8,boxscore,BOS,@,BAL,W,7,3,,4-3,1,Tied,Rodriguez,Harvey,,3:08,D,10150,1.10,++++,
8,Saturday Apr 10,boxscore,BOS,@,BAL,W,6,4,10,5-3,1,up 1.0,Barnes,Tate,Andriese,3:34,N,9307,1.19,+++++,
9,Sunday Apr 11,boxscore,BOS,@,BAL,W,14,9,,6-3,1,up 2.0,Pivetta,Lopez,,3:46,D,8171,1.21,++++++,
10,Tuesday Apr 13,boxscore,BOS,@,MIN,W,4,2,,7-3,1,up 2.5,Ottavino,Dobnak,Barnes,3:17,D,6724,1.13,+++++++,
11,Wednesday Apr 14 (1),boxscore,BOS,@,MIN,W,3,2,7,8-3,1,up 3.0,Eovaldi,Maeda,Barnes,2:40,D,,1.17,++++++++,
12,Wednesday Apr 14 (2),boxscore,BOS,@,MIN,W,7,1,7,9-3,1,up 3.0,Rodriguez,Berrios,,2:31,N,7074,1.17,+++++++++,
13,Thursday Apr 15,boxscore,BOS,@,MIN,L-wo,3,4,,9-4,1,up 3.0,Colome,Ottavino,,3:25,D,7925,1.22,-,
14,Saturday Apr 17,boxscore,BOS,,CHW,W,7,4,,10-4,1,up 3.5,Ottavino,Heuer,,3:36,D,4668,1.24,+,
15,Sunday Apr 18 (1),boxscore,BOS,,CHW,L,2,3,7,10-5,1,up 2.0,Keuchel,Houck,Hendriks,2:04,D,4679,1.17,-,
16,Sunday Apr 18 (2),boxscore,BOS,,CHW,L,1,5,7,10-6,1,up 2.0,Foster,Perez,,2:24,N,4601,1.16,--,
17,Monday Apr 19,boxscore,BOS,,CHW,W,11,4,,11-6,1,up 2.0,Eovaldi,Giolito,,3:15,D,4738,1.13,+,
18,Tuesday Apr 20,boxscore,BOS,,TOR,W,4,2,,12-6,1,up 2.0,Rodriguez,Ryu,Barnes,2:42,N,4728,1.37,++,
19,Wednesday Apr 21,boxscore,BOS,,TOR,L,3,6,,12-7,1,up 2.0,Borucki,Richards,Castro,3:45,N,4661,1.30,-,
